time,pair_id,phase,cmd_px,cmd_py,cmd_pz,ndi_px,ndi_py,ndi_pz,ndi_ox,ndi_oy,ndi_oz,ndi_ow,fx,fy,fz,joint_0,joint_1,joint_2,joint_3,joint_4
1773939362.7250905,0,wp1,-0.009,-0.006,0.015,58.34602355957031,-29.447656631469727,-208.22377014160156,-0.3434007167816162,0.6046420335769653,0.0,0.7186681628227234,0.737683,-7.545195,4.803589,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939362.7499406,0,wp1,-0.009,-0.006,0.015,58.03806686401367,-28.9029483795166,-207.16720581054688,-0.34376081824302673,0.6045830845832825,0.0,0.7185456156730652,0.7377579999999999,-7.551489999999999,4.806299999999999,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939362.7749593,0,wp1,-0.009,-0.006,0.015,57.93134307861328,-28.738779067993164,-206.72325134277344,-0.344099223613739,0.6044108271598816,0.0,0.7185285091400146,0.729221,-7.548381999999999,4.803743,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939362.8000221,0,wp1,-0.009,-0.006,0.015,57.76005935668945,-28.395771026611328,-206.2061767578125,-0.34429970383644104,0.6043676137924194,0.0,0.7184688448905945,0.739251,-7.547593,4.800018,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939362.8251002,0,wp1,-0.009,-0.006,0.015,57.63113784790039,-28.17083740234375,-205.7353057861328,-0.34450075030326843,0.6042302846908569,0.0,0.7184879779815674,0.736559,-7.5460329999999995,4.80176,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939362.8499236,0,wp1,-0.009,-0.006,0.015,57.524330139160156,-27.997404098510742,-205.3674774169922,-0.3446633815765381,0.6041519641876221,0.0,0.7184758186340332,0.735128,-7.548253,4.80636,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939362.8748298,0,wp1,-0.009,-0.006,0.015,57.140586853027344,-27.320941925048828,-204.36343383789062,-0.3450775444507599,0.6041496396064758,0.0,0.7182790040969849,0.7298469999999999,-7.560534,4.804619,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939362.8999217,0,wp1,-0.009,-0.006,0.015,57.1905403137207,-27.345643997192383,-204.1706085205078,-0.34530922770500183,0.6038303971290588,0.0,0.718436062335968,0.7364299999999999,-7.54132,4.8018909999999995,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939362.9251468,0,wp1,-0.009,-0.006,0.015,56.89569091796875,-26.818418502807617,-203.35421752929688,-0.3457953929901123,0.6036359071731567,0.0,0.7183657288551331,0.7364839999999999,-7.544467,4.80179,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939362.9498253,0,wp1,-0.009,-0.006,0.015,56.506256103515625,-26.169355392456055,-202.2248077392578,-0.34642988443374634,0.6035340428352356,0.0,0.718145489692688,0.737922,-7.5452889999999995,4.799115,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
